episode,step,episodic_reward,success_rate,episodic_length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
1,30,-0.9825465,0.0,2
1,35,-0.9825465,0.0,7
1,40,-0.9825465,0.0,12
1,45,-0.9825465,0.0,17
1,50,-0.9825465,0.0,22
1,55,-0.9825465,0.0,27
1,60,-0.9825465,0.0,32
1,65,-0.9825465,0.0,37
1,70,-0.9825465,0.0,42
1,75,-0.9825465,0.0,47
1,80,-0.9825465,0.0,52
1,85,-0.9825465,0.0,57
1,90,-0.9825465,0.0,62
1,95,-0.9825465,0.0,67
1,100,-0.9825465,0.0,72
1,105,-0.9825465,0.0,77
1,110,-0.9825465,0.0,82
1,115,-0.9825465,0.0,87
1,120,-0.9825465,0.0,92
1,125,-0.9825465,0.0,97
1,130,-0.9825465,0.0,102
1,135,-0.9825465,0.0,107
1,140,-0.9825465,0.0,112
1,145,-0.9825465,0.0,117
1,150,-0.9825465,0.0,122
1,155,-0.9825465,0.0,127
1,160,-0.9825465,0.0,132
1,165,-0.9825465,0.0,137
1,170,-0.9825465,0.0,142
1,175,-0.9825465,0.0,147
1,180,-0.9825465,0.0,152
1,185,-0.9825465,0.0,157
1,190,-0.9825465,0.0,162
1,195,-0.9825465,0.0,167
1,200,-0.9825465,0.0,172
1,205,-0.9825465,0.0,177
1,210,-0.9825465,0.0,182
1,215,-0.9825465,0.0,187
1,220,-0.9825465,0.0,192
1,225,-0.9825465,0.0,197
1,230,-0.9825465,0.0,202
1,235,-0.9825465,0.0,207
1,240,-0.9825465,0.0,212
1,245,-0.9825465,0.0,217
1,250,-0.9825465,0.0,222
1,255,-0.9825465,0.0,227
1,260,-0.9825465,0.0,232
1,265,-0.9825465,0.0,237
1,270,-0.9825465,0.0,242
1,275,-0.9825465,0.0,247
1,280,-0.9825465,0.0,252
1,285,-0.9825465,0.0,257
1,290,-0.9825465,0.0,262
1,295,-0.9825465,0.0,267
1,300,-0.9825465,0.0,272
1,305,-0.9825465,0.0,277
1,310,-0.9825465,0.0,282
1,315,-0.9825465,0.0,287
